evidence,gocategory,id,pubmed,qualifier,term,gene,ontology,category
IDA,,GO:0106414,34556860,enables,mRNA dihydrouridine synthase activity,DUS3L,MF,MF
IEA,,GO:0106414,,enables,mRNA dihydrouridine synthase activity,DUS3L,MF,MF
,,,,,,HUS1,MF,
TAS,,GO:0005068,9687533,enables,transmembrane receptor protein tyrosine kinase adaptor activity,TRAT1,MF,MF
IPI,,GO:0005515,,enables,protein binding,TRAT1,MF,MF
IPI,,GO:0005515,"[16943429, 21282530, 22493164, 23523425, 24981860, 26496610, 26687479, 27505670, 27705803, 28514442, 32296183, 33961781]",enables,protein binding,PCGF1,MF,MF
IEA,,GO:0008270,,enables,zinc ion binding,PCGF1,MF,MF
IEA,,GO:0046872,,enables,metal ion binding,PCGF1,MF,MF
IBA,,GO:1990841,,enables,promoter-specific chromatin binding,PCGF1,MF,MF
IEA,,GO:0003677,,enables,DNA binding,ZNF26,MF,MF
IPI,,GO:0005515,"[25416956, 31515488]",enables,protein binding,ZNF26,MF,MF
IEA,,GO:0008270,,enables,zinc ion binding,ZNF26,MF,MF
IEA,,GO:0046872,,enables,metal ion binding,ZNF26,MF,MF
,,,,,,FAM241A,MF,
IBA,,GO:0004721,,enables,phosphoprotein phosphatase activity,DUSP1,MF,MF
IEA,,GO:0004721,,enables,phosphoprotein phosphatase activity,DUSP1,MF,MF
IEA,,GO:0004722,,enables,protein serine/threonine phosphatase activity,DUSP1,MF,MF
ISS,,GO:0004722,,enables,protein serine/threonine phosphatase activity,DUSP1,MF,MF
IDA,,GO:0004725,1406996,enables,protein tyrosine phosphatase activity,DUSP1,MF,MF
IEA,,GO:0004725,,enables,protein tyrosine phosphatase activity,DUSP1,MF,MF
IPI,,GO:0005515,"[10617468, 16286470, 20347885, 20936779, 25241761, 27880917]",enables,protein binding,DUSP1,MF,MF
IDA,,GO:0008138,17498703,enables,protein tyrosine/serine/threonine phosphatase activity,DUSP1,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,DUSP1,MF,MF
IEA,,GO:0017017,,enables,MAP kinase tyrosine/serine/threonine phosphatase activity,DUSP1,MF,MF
ISS,,GO:0017017,,enables,MAP kinase tyrosine/serine/threonine phosphatase activity,DUSP1,MF,MF
IEA,,GO:0019838,,enables,growth factor binding,DUSP1,MF,MF
IEA,,GO:0051019,,enables,mitogen-activated protein kinase binding,DUSP1,MF,MF
ISS,,GO:0051019,,enables,mitogen-activated protein kinase binding,DUSP1,MF,MF
IPI,,GO:0005515,19451233,enables,protein binding,STXBP4,MF,MF
IBA,,GO:0019905,,enables,syntaxin binding,STXBP4,MF,MF
IPI,,GO:0019905,12855681,enables,syntaxin binding,STXBP4,MF,MF
IEA,,GO:0003676,,enables,nucleic acid binding,GPATCH3,MF,MF
IPI,,GO:0005515,28414768,enables,protein binding,GPATCH3,MF,MF
IPI,,GO:0005515,"[32296183, 33961781]",enables,protein binding,ZFAND2A,MF,MF
IEA,,GO:0008270,,enables,zinc ion binding,ZFAND2A,MF,MF
IEA,,GO:0046872,,enables,metal ion binding,ZFAND2A,MF,MF
IPI,,GO:0005515,"[29601588, 32296183]",enables,protein binding,DNAL1,MF,MF
IBA,,GO:0043014,,enables,alpha-tubulin binding,DNAL1,MF,MF
IMP,,GO:0043014,21496787,enables,alpha-tubulin binding,DNAL1,MF,MF
IBA,,GO:0045504,,enables,dynein heavy chain binding,DNAL1,MF,MF
IDA,,GO:0045504,15845866,enables,dynein heavy chain binding,DNAL1,MF,MF
IMP,,GO:0045504,21496787,enables,dynein heavy chain binding,DNAL1,MF,MF
IPI,,GO:0005515,"[25416956, 25910212, 26871637, 28514442, 31515488, 32296183, 33961781]",enables,protein binding,TMEM79,MF,MF
IPI,,GO:0042802,"[21516116, 25416956, 32296183]",enables,identical protein binding,TMEM79,MF,MF
IEA,,GO:0003676,,enables,nucleic acid binding,ANKRD17,MF,MF
IDA,,GO:0003682,19150984,enables,chromatin binding,ANKRD17,MF,MF
HDA,,GO:0003723,22658674,enables,RNA binding,ANKRD17,MF,MF
IEA,,GO:0003723,,enables,RNA binding,ANKRD17,MF,MF
IPI,,GO:0005515,"[19150984, 22328336, 23711367]",enables,protein binding,ANKRD17,MF,MF
IDA,,GO:0000976,18288204,enables,transcription cis-regulatory region binding,GRHL1,MF,MF
IEA,,GO:0000976,,enables,transcription cis-regulatory region binding,GRHL1,MF,MF
IBA,,GO:0000978,,enables,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GRHL1,MF,MF
IDA,,GO:0000978,12175488,enables,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GRHL1,MF,MF
ISA,,GO:0000981,,enables,"DNA-binding transcription factor activity, RNA polymerase II-specific",GRHL1,MF,MF
IBA,,GO:0001228,,enables,"DNA-binding transcription activator activity, RNA polymerase II-specific",GRHL1,MF,MF
IDA,,GO:0001228,12175488,enables,"DNA-binding transcription activator activity, RNA polymerase II-specific",GRHL1,MF,MF
IMP,,GO:0001228,29309642,enables,"DNA-binding transcription activator activity, RNA polymerase II-specific",GRHL1,MF,MF
IDA,,GO:0003677,12175488,enables,DNA binding,GRHL1,MF,MF
IEA,,GO:0003677,,enables,DNA binding,GRHL1,MF,MF
IDA,,GO:0003700,12175488,enables,DNA-binding transcription factor activity,GRHL1,MF,MF
IEA,,GO:0003700,,enables,DNA-binding transcription factor activity,GRHL1,MF,MF
IPI,,GO:0005515,"[12175488, 28514442, 29309642, 33961781, 35013237]",enables,protein binding,GRHL1,MF,MF
IDA,,GO:0031490,21081122,enables,chromatin DNA binding,GRHL1,MF,MF
IPI,,GO:0042802,12175488,enables,identical protein binding,GRHL1,MF,MF
IPI,,GO:0042803,29309642,enables,protein homodimerization activity,GRHL1,MF,MF
IDA,,GO:0043565,18288204,enables,sequence-specific DNA binding,GRHL1,MF,MF
IEA,,GO:0043565,,enables,sequence-specific DNA binding,GRHL1,MF,MF
IPI,,GO:0140297,35013237,enables,DNA-binding transcription factor binding,GRHL1,MF,MF
IDA,,GO:1990837,28473536,enables,sequence-specific double-stranded DNA binding,GRHL1,MF,MF
HDA,,GO:0003723,"[22658674, 22681889]",enables,RNA binding,LSM1,MF,MF
IEA,,GO:0003723,,enables,RNA binding,LSM1,MF,MF
IBA,,GO:0003729,,enables,mRNA binding,LSM1,MF,MF
IPI,,GO:0005515,"[14667819, 15231747, 18172165, 19628699, 20584987, 20852261, 25416956, 26871637, 28514442, 32296183, 32814053, 33961781]",enables,protein binding,LSM1,MF,MF
IDA,,GO:0003677,18364357,enables,DNA binding,ZC3H12A,MF,MF
IEA,,GO:0003677,,enables,DNA binding,ZC3H12A,MF,MF
IDA,,GO:0003682,18364357,enables,chromatin binding,ZC3H12A,MF,MF
IDA,,GO:0003723,23355615,enables,RNA binding,ZC3H12A,MF,MF
IEA,,GO:0003723,,enables,RNA binding,ZC3H12A,MF,MF
IBA,,GO:0003729,,enables,mRNA binding,ZC3H12A,MF,MF
IDA,,GO:0003729,19909337,enables,mRNA binding,ZC3H12A,MF,MF
IEA,,GO:0003730,,enables,mRNA 3'-UTR binding,ZC3H12A,MF,MF
ISS,,GO:0003730,,enables,mRNA 3'-UTR binding,ZC3H12A,MF,MF
IEA,,GO:0004518,,enables,nuclease activity,ZC3H12A,MF,MF
IEA,,GO:0004519,,enables,endonuclease activity,ZC3H12A,MF,MF
IBA,,GO:0004521,,enables,RNA endonuclease activity,ZC3H12A,MF,MF
IEA,,GO:0004521,,enables,RNA endonuclease activity,ZC3H12A,MF,MF
ISS,,GO:0004521,,enables,RNA endonuclease activity,ZC3H12A,MF,MF
IEA,,GO:0004532,,enables,RNA exonuclease activity,ZC3H12A,MF,MF
ISS,,GO:0004532,,enables,RNA exonuclease activity,ZC3H12A,MF,MF
IDA,,GO:0004540,23355615,enables,RNA nuclease activity,ZC3H12A,MF,MF
IMP,,GO:0004843,25861989,contributes_to,cysteine-type deubiquitinase activity,ZC3H12A,MF,MF
IPI,,GO:0005515,"[16189514, 21900206, 21903422, 21988832, 24270572, 25416956, 25861989, 26134560, 32296183]",enables,protein binding,ZC3H12A,MF,MF
IEA,,GO:0008270,,enables,zinc ion binding,ZC3H12A,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,ZC3H12A,MF,MF
IDA,,GO:0035198,22055188,enables,miRNA binding,ZC3H12A,MF,MF
IEA,,GO:0035613,,enables,RNA stem-loop binding,ZC3H12A,MF,MF
ISS,,GO:0035613,,enables,RNA stem-loop binding,ZC3H12A,MF,MF
IEA,,GO:0035925,,enables,mRNA 3'-UTR AU-rich region binding,ZC3H12A,MF,MF
ISS,,GO:0035925,,enables,mRNA 3'-UTR AU-rich region binding,ZC3H12A,MF,MF
IEA,,GO:0043022,,enables,ribosome binding,ZC3H12A,MF,MF
ISS,,GO:0043022,,enables,ribosome binding,ZC3H12A,MF,MF
IEA,,GO:0046872,,enables,metal ion binding,ZC3H12A,MF,MF
IEA,,GO:0000049,,enables,tRNA binding,CTU2,MF,MF
IPI,,GO:0005515,19017811,enables,protein binding,CTU2,MF,MF
IEA,,GO:0016779,,enables,nucleotidyltransferase activity,CTU2,MF,MF
IBA,,GO:0016783,,enables,sulfurtransferase activity,CTU2,MF,MF
IC,,GO:0000976,15322075,enables,transcription cis-regulatory region binding,DDIT3,MF,MF
IDA,,GO:0000976,24939851,enables,transcription cis-regulatory region binding,DDIT3,MF,MF
IEA,,GO:0000976,,enables,transcription cis-regulatory region binding,DDIT3,MF,MF
ISS,,GO:0000976,,enables,transcription cis-regulatory region binding,DDIT3,MF,MF
IBA,,GO:0000978,,enables,RNA polymerase II cis-regulatory region sequence-specific DNA binding,DDIT3,MF,MF
IDA,,GO:0000978,22065586,enables,RNA polymerase II cis-regulatory region sequence-specific DNA binding,DDIT3,MF,MF
ISA,,GO:0000981,,enables,"DNA-binding transcription factor activity, RNA polymerase II-specific",DDIT3,MF,MF
IBA,,GO:0001228,,enables,"DNA-binding transcription activator activity, RNA polymerase II-specific",DDIT3,MF,MF
IDA,,GO:0001228,22065586,enables,"DNA-binding transcription activator activity, RNA polymerase II-specific",DDIT3,MF,MF
IDA,,GO:0003677,"[14667815, 18940792]",enables,DNA binding,DDIT3,MF,MF
IEA,,GO:0003677,,enables,DNA binding,DDIT3,MF,MF
IDA,,GO:0003700,"[15322075, 30639358]",enables,DNA-binding transcription factor activity,DDIT3,MF,MF
IEA,,GO:0003700,,enables,DNA-binding transcription factor activity,DDIT3,MF,MF
IGI,,GO:0003700,24939851,enables,DNA-binding transcription factor activity,DDIT3,MF,MF
ISS,,GO:0003700,,enables,DNA-binding transcription factor activity,DDIT3,MF,MF
NAS,,GO:0003700,8510758,enables,DNA-binding transcription factor activity,DDIT3,MF,MF
IDA,,GO:0003714,24038088,enables,transcription corepressor activity,DDIT3,MF,MF
IGI,,GO:0003714,11478948,enables,transcription corepressor activity,DDIT3,MF,MF
IPI,,GO:0005515,"[15775988, 16189514, 17872950, 18330356, 18940792, 20102225, 20211142, 20562859, 20829347, 21988832, 22761832, 23661758, 25416956, 27107012, 29083303, 29997244, 31467278, 32296183, 32814053, 32911434, 33961781, 34799561, 37398436]",enables,protein binding,DDIT3,MF,MF
IEA,,GO:0008140,,enables,cAMP response element binding protein binding,DDIT3,MF,MF
IPI,,GO:0008140,11478948,enables,cAMP response element binding protein binding,DDIT3,MF,MF
ISS,,GO:0008140,,enables,cAMP response element binding protein binding,DDIT3,MF,MF
IPI,,GO:0042802,"[20562859, 23661758]",enables,identical protein binding,DDIT3,MF,MF
IDA,,GO:0042803,18534616,enables,protein homodimerization activity,DDIT3,MF,MF
IDA,,GO:0043522,"[8622660, 11478948]",enables,leucine zipper domain binding,DDIT3,MF,MF
IBA,,GO:0046982,,enables,protein heterodimerization activity,DDIT3,MF,MF
IEA,,GO:0046982,,enables,protein heterodimerization activity,DDIT3,MF,MF
IPI,,GO:0046982,8622660,enables,protein heterodimerization activity,DDIT3,MF,MF
IEA,,GO:0061629,,enables,RNA polymerase II-specific DNA-binding transcription factor binding,DDIT3,MF,MF
IPI,,GO:0061629,16434966,enables,RNA polymerase II-specific DNA-binding transcription factor binding,DDIT3,MF,MF
IEA,,GO:0140416,,enables,transcription regulator inhibitor activity,DDIT3,MF,MF
ISS,,GO:0140416,,enables,transcription regulator inhibitor activity,DDIT3,MF,MF
IEA,,GO:0140537,,enables,transcription regulator activator activity,DDIT3,MF,MF
ISS,,GO:0140537,,enables,transcription regulator activator activity,DDIT3,MF,MF
IPI,,GO:0005515,"[32814053, 33961781]",enables,protein binding,LIPT1,MF,MF
IEA,,GO:0016410,,enables,N-acyltransferase activity,LIPT1,MF,MF
TAS,,GO:0016410,,enables,N-acyltransferase activity,LIPT1,MF,MF
IEA,,GO:0016740,,enables,transferase activity,LIPT1,MF,MF
IEA,,GO:0016746,,enables,acyltransferase activity,LIPT1,MF,MF
IEA,,GO:0016747,,enables,"acyltransferase activity, transferring groups other than amino-acyl groups",LIPT1,MF,MF
IBA,,GO:0017118,,enables,lipoyltransferase activity,LIPT1,MF,MF
IEA,,GO:0017118,,enables,lipoyltransferase activity,LIPT1,MF,MF
ISS,,GO:0017118,,enables,lipoyltransferase activity,LIPT1,MF,MF
HDA,,GO:0003723,"[22658674, 22681889]",enables,RNA binding,NOP2,MF,MF
IEA,,GO:0003723,,enables,RNA binding,NOP2,MF,MF
IPI,,GO:0005515,"[12080348, 25416956, 30021884, 33961781, 35271311]",enables,protein binding,NOP2,MF,MF
IEA,,GO:0008168,,enables,methyltransferase activity,NOP2,MF,MF
IEA,,GO:0008173,,enables,RNA methyltransferase activity,NOP2,MF,MF
IEA,,GO:0008757,,enables,S-adenosylmethionine-dependent methyltransferase activity,NOP2,MF,MF
IBA,,GO:0009383,,enables,rRNA (cytosine-C5-)-methyltransferase activity,NOP2,MF,MF
IDA,,GO:0009383,26196125,enables,rRNA (cytosine-C5-)-methyltransferase activity,NOP2,MF,MF
IMP,,GO:0009383,36161484,enables,rRNA (cytosine-C5-)-methyltransferase activity,NOP2,MF,MF
IEA,,GO:0016740,,enables,transferase activity,NOP2,MF,MF
IDA,,GO:0003747,20075246,enables,translation release factor activity,MTRF1L,MF,MF
IEA,,GO:0003747,,enables,translation release factor activity,MTRF1L,MF,MF
IDA,,GO:0016149,"[17803939, 33878294]",enables,"translation release factor activity, codon specific",MTRF1L,MF,MF
IEA,,GO:0016149,,enables,"translation release factor activity, codon specific",MTRF1L,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,MX1,MF,MF
IBA,,GO:0003924,,enables,GTPase activity,MX1,MF,MF
IEA,,GO:0003924,,enables,GTPase activity,MX1,MF,MF
IPI,,GO:0005515,"[15047845, 15757897, 21859714, 25416956, 28514442, 30833792, 32296183, 33961781]",enables,protein binding,MX1,MF,MF
IEA,,GO:0005525,,enables,GTP binding,MX1,MF,MF
TAS,,GO:0005525,2154602,enables,GTP binding,MX1,MF,MF
IBA,,GO:0008017,,enables,microtubule binding,MX1,MF,MF
IPI,,GO:0042802,"[20428112, 25295396, 25416956, 32296183]",enables,identical protein binding,MX1,MF,MF
,,,,,,LAMP3,MF,
IEA,,GO:0003677,,enables,DNA binding,H2BC5,MF,MF
IPI,,GO:0005515,"[28514442, 30021884, 33961781]",enables,protein binding,H2BC5,MF,MF
IEA,,GO:0030527,,enables,structural constituent of chromatin,H2BC5,MF,MF
IEA,,GO:0046982,,enables,protein heterodimerization activity,H2BC5,MF,MF
IDA,,GO:0042803,17088326,enables,protein homodimerization activity,DEFA4,MF,MF
IBA,,GO:0140911,,enables,pore-forming activity,DEFA4,MF,MF
IEA,,GO:0003677,,enables,DNA binding,H4C5,MF,MF
TAS,,GO:0003677,3035717,enables,DNA binding,H4C5,MF,MF
HDA,,GO:0003723,"[22658674, 22681889]",enables,RNA binding,H4C5,MF,MF
IPI,,GO:0005515,"[9540062, 10220385, 14585971, 15161933, 15933069, 16415788, 16917504, 17540172, 18404153, 18408754, 18474616, 18571423, 19410544, 19494831, 19498464, 19710015, 19862764, 20000738, 20224553, 20498094, 20618440, 20709061, 20739937, 20951943, 21085121, 21478274, 21596426, 21743476, 21888893, 21983900, 22343720, 22368283, 22373579, 22615379, 23071334, 23075851, 23142979, 23377543, 23760478, 23831576, 24183680, 24360279, 24361270, 24525235, 24596249, 24726341, 24981860, 25281266, 25416956, 25556234, 25579814, 25619998, 25651062, 25910212, 26167883, 26496610, 26912361, 27153538, 28514442, 30021884, 31142837, 31759698, 32296183, 32814053, 33857403, 33961781, 35271311]",enables,protein binding,H4C5,MF,MF
IBA,,GO:0030527,,enables,structural constituent of chromatin,H4C5,MF,MF
IDA,,GO:0030527,14718166,enables,structural constituent of chromatin,H4C5,MF,MF
IEA,,GO:0030527,,enables,structural constituent of chromatin,H4C5,MF,MF
IEA,,GO:0046982,,enables,protein heterodimerization activity,H4C5,MF,MF
IPI,,GO:0005515,"[15145941, 15987997, 25416956, 37219487]",enables,protein binding,DLGAP5,MF,MF
IBA,,GO:0008017,,enables,microtubule binding,DLGAP5,MF,MF
IBA,,GO:0004568,,NOT enables,chitinase activity,CHI3L2,MF,MF
IDA,,GO:0004568,22742450,NOT enables,chitinase activity,CHI3L2,MF,MF
IDA,,GO:0008061,22742450,enables,chitin binding,CHI3L2,MF,MF
IEA,,GO:0008061,,enables,chitin binding,CHI3L2,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,CHI3L2,MF,MF
IEA,,GO:0030246,,enables,carbohydrate binding,CHI3L2,MF,MF
IEA,,GO:0004888,,enables,transmembrane signaling receptor activity,CD160,MF,MF
IDA,,GO:0005102,9973372,enables,signaling receptor binding,CD160,MF,MF
IPI,,GO:0005515,"[11978774, 16809620, 18193050, 25416956, 27152329, 32296183]",enables,protein binding,CD160,MF,MF
IPI,,GO:0019900,11978774,enables,kinase binding,CD160,MF,MF
IEA,,GO:0023024,,enables,MHC class I protein complex binding,CD160,MF,MF
IDA,,GO:0032393,15494480,enables,MHC class I receptor activity,CD160,MF,MF
IDA,,GO:0032394,16809620,enables,MHC class Ib receptor activity,CD160,MF,MF
IDA,,GO:0032397,"[9973372, 11978774, 12486241]",enables,activating MHC class I receptor activity,CD160,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,DDX10,MF,MF
IEA,,GO:0003676,,enables,nucleic acid binding,DDX10,MF,MF
HDA,,GO:0003723,"[22658674, 22681889]",enables,RNA binding,DDX10,MF,MF
IEA,,GO:0003723,,enables,RNA binding,DDX10,MF,MF
IEA,,GO:0003724,,enables,RNA helicase activity,DDX10,MF,MF
TAS,,GO:0003724,8660968,enables,RNA helicase activity,DDX10,MF,MF
IEA,,GO:0004386,,enables,helicase activity,DDX10,MF,MF
IPI,,GO:0005515,"[30021884, 33961781]",enables,protein binding,DDX10,MF,MF
IEA,,GO:0005524,,enables,ATP binding,DDX10,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,DDX10,MF,MF
IEA,,GO:0016887,,enables,ATP hydrolysis activity,DDX10,MF,MF
IPI,,GO:0005515,"[11564868, 15231748, 21988832, 26095357, 29109149]",enables,protein binding,PPP1R15A,MF,MF
IDA,,GO:0008157,11564868,enables,protein phosphatase 1 binding,PPP1R15A,MF,MF
IPI,,GO:0008157,"[12556489, 21518769, 34847777]",enables,protein phosphatase 1 binding,PPP1R15A,MF,MF
IBA,,GO:0019888,,enables,protein phosphatase regulator activity,PPP1R15A,MF,MF
IDA,,GO:0019888,"[11564868, 12556489]",enables,protein phosphatase regulator activity,PPP1R15A,MF,MF
ISS,,GO:0019888,11381086,enables,protein phosphatase regulator activity,PPP1R15A,MF,MF
IPI,,GO:0019901,11517336,enables,protein kinase binding,PPP1R15A,MF,MF
IPI,,GO:0071074,34847777,enables,eukaryotic initiation factor eIF2 binding,PPP1R15A,MF,MF
IDA,,GO:0072542,21518769,enables,protein phosphatase activator activity,PPP1R15A,MF,MF
HDA,,GO:0003723,22681889,enables,RNA binding,KPNA2,MF,MF
IPI,,GO:0005515,"[9168958, 9405152, 9497340, 10353244, 10523667, 10980193, 11024021, 11971900, 12551970, 15507604, 15870280, 15942031, 17324944, 17596301, 19668212, 19883659, 20551905, 20701745, 20965181, 21385873, 21690087, 21988832, 22898364, 24965446, 24981860, 25416956, 25556234, 25609649, 26420826, 26496610, 28514442, 29042515, 29370303, 29892012, 31515488, 32296183, 32911434, 32979938, 33060197, 33097660, 33961781, 34950606, 35271311, 36647821]",enables,protein binding,KPNA2,MF,MF
IBA,,GO:0008139,,enables,nuclear localization sequence binding,KPNA2,MF,MF
IDA,,GO:0008139,"[17324944, 28991411]",enables,nuclear localization sequence binding,KPNA2,MF,MF
IPI,,GO:0042826,10869435,enables,histone deacetylase binding,KPNA2,MF,MF
IBA,,GO:0061608,,enables,nuclear import signal receptor activity,KPNA2,MF,MF
IDA,,GO:0061608,32290222,enables,nuclear import signal receptor activity,KPNA2,MF,MF
IEA,,GO:0061608,,enables,nuclear import signal receptor activity,KPNA2,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,GPN2,MF,MF
IBA,,GO:0003924,,enables,GTPase activity,GPN2,MF,MF
IPI,,GO:0005515,"[28514442, 32296183, 32814053, 33961781]",enables,protein binding,GPN2,MF,MF
IEA,,GO:0005525,,enables,GTP binding,GPN2,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,GPN2,MF,MF
IBA,,GO:0000976,,enables,transcription cis-regulatory region binding,PER2,MF,MF
ISS,,GO:0000976,,enables,transcription cis-regulatory region binding,PER2,MF,MF
IBA,,GO:0001222,,enables,transcription corepressor binding,PER2,MF,MF
ISS,,GO:0003713,,enables,transcription coactivator activity,PER2,MF,MF
IPI,,GO:0005515,"[16790549, 17218255, 21179498, 22274616, 28514442, 30530698, 32296183, 33961781]",enables,protein binding,PER2,MF,MF
IBA,,GO:0003725,,enables,double-stranded RNA binding,PRKRIP1,MF,MF
IEA,,GO:0003725,,enables,double-stranded RNA binding,PRKRIP1,MF,MF
ISS,,GO:0003725,,enables,double-stranded RNA binding,PRKRIP1,MF,MF
IBA,,GO:0004860,,enables,protein kinase inhibitor activity,PRKRIP1,MF,MF
IEA,,GO:0004860,,enables,protein kinase inhibitor activity,PRKRIP1,MF,MF
ISS,,GO:0004860,,enables,protein kinase inhibitor activity,PRKRIP1,MF,MF
IPI,,GO:0005515,25416956,enables,protein binding,PRKRIP1,MF,MF
IBA,,GO:0019901,,enables,protein kinase binding,PRKRIP1,MF,MF
IEA,,GO:0019901,,enables,protein kinase binding,PRKRIP1,MF,MF
ISS,,GO:0019901,,enables,protein kinase binding,PRKRIP1,MF,MF
,,,,,,BTG3,MF,
,,,,,,LIN52,MF,
IBA,,GO:0001671,,enables,ATPase activator activity,DNAJB2,MF,MF
IDA,,GO:0001671,"[7957263, 22219199]",enables,ATPase activator activity,DNAJB2,MF,MF
IPI,,GO:0005515,"[12754272, 15936278, 21625540, 21719532, 24023695, 25036637, 33961781]",enables,protein binding,DNAJB2,MF,MF
IBA,,GO:0030544,,enables,Hsp70 protein binding,DNAJB2,MF,MF
IDA,,GO:0030544,21625540,enables,Hsp70 protein binding,DNAJB2,MF,MF
IEA,,GO:0030544,,enables,Hsp70 protein binding,DNAJB2,MF,MF
IPI,,GO:0030544,"[15936278, 22219199]",enables,Hsp70 protein binding,DNAJB2,MF,MF
IDA,,GO:0031593,"[15936278, 21625540]",enables,polyubiquitin modification-dependent protein binding,DNAJB2,MF,MF
IPI,,GO:0031625,20889486,enables,ubiquitin protein ligase binding,DNAJB2,MF,MF
IDA,,GO:0043130,28031292,enables,ubiquitin binding,DNAJB2,MF,MF
IBA,,GO:0051082,,enables,unfolded protein binding,DNAJB2,MF,MF
IDA,,GO:0051082,"[21231916, 24023695]",enables,unfolded protein binding,DNAJB2,MF,MF
IEA,,GO:0051082,,enables,unfolded protein binding,DNAJB2,MF,MF
IEA,,GO:0051087,,enables,protein-folding chaperone binding,DNAJB2,MF,MF
IPI,,GO:0051087,21231916,enables,protein-folding chaperone binding,DNAJB2,MF,MF
IDA,,GO:0070628,15936278,enables,proteasome binding,DNAJB2,MF,MF
IPI,,GO:0120283,28031292,enables,protein serine/threonine kinase binding,DNAJB2,MF,MF
IDA,,GO:0140036,28031292,enables,ubiquitin-modified protein reader activity,DNAJB2,MF,MF
TAS,,GO:0140318,28031292,enables,protein transporter activity,DNAJB2,MF,MF
IPI,,GO:0005515,"[28514442, 28734904, 31286866, 32296183, 33961781]",enables,protein binding,EMC7,MF,MF
IEA,,GO:0030246,,enables,carbohydrate binding,EMC7,MF,MF
IMP,,GO:0032977,"[29809151, 30415835]",contributes_to,membrane insertase activity,EMC7,MF,MF
IDA,,GO:0000049,20598274,enables,tRNA binding,YARS2,MF,MF
TAS,,GO:0000049,15779907,enables,tRNA binding,YARS2,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,YARS2,MF,MF
HDA,,GO:0003723,22681889,enables,RNA binding,YARS2,MF,MF
IEA,,GO:0003723,,enables,RNA binding,YARS2,MF,MF
IEA,,GO:0004812,,enables,aminoacyl-tRNA ligase activity,YARS2,MF,MF
IBA,,GO:0004831,,enables,tyrosine-tRNA ligase activity,YARS2,MF,MF
IDA,,GO:0004831,"[15779907, 15840810, 17997975, 20598274]",enables,tyrosine-tRNA ligase activity,YARS2,MF,MF
IEA,,GO:0004831,,enables,tyrosine-tRNA ligase activity,YARS2,MF,MF
NAS,,GO:0004831,10810093,enables,tyrosine-tRNA ligase activity,YARS2,MF,MF
IPI,,GO:0005515,"[25416956, 32296183]",enables,protein binding,YARS2,MF,MF
IEA,,GO:0005524,,enables,ATP binding,YARS2,MF,MF
TAS,,GO:0005524,15779907,enables,ATP binding,YARS2,MF,MF
IEA,,GO:0016874,,enables,ligase activity,YARS2,MF,MF
IPI,,GO:0042803,"[15779907, 17997975]",enables,protein homodimerization activity,YARS2,MF,MF
IDA,,GO:0072545,17997975,enables,L-tyrosine binding,YARS2,MF,MF
HDA,,GO:0003723,22658674,enables,RNA binding,RPP30,MF,MF
IBA,,GO:0003723,,enables,RNA binding,RPP30,MF,MF
IEA,,GO:0003723,,enables,RNA binding,RPP30,MF,MF
IDA,,GO:0004526,30454648,contributes_to,ribonuclease P activity,RPP30,MF,MF
IEA,,GO:0004526,,enables,ribonuclease P activity,RPP30,MF,MF
TAS,,GO:0004526,9630247,enables,ribonuclease P activity,RPP30,MF,MF
IPI,,GO:0005515,"[15096576, 25416956, 28514442, 31515488, 32296183, 33961781, 35271311]",enables,protein binding,RPP30,MF,MF
IDA,,GO:0033204,"[16723659, 30454648]",enables,ribonuclease P RNA binding,RPP30,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,DDX27,MF,MF
IEA,,GO:0003676,,enables,nucleic acid binding,DDX27,MF,MF
HDA,,GO:0003723,"[22658674, 22681889]",enables,RNA binding,DDX27,MF,MF
IEA,,GO:0003724,,enables,RNA helicase activity,DDX27,MF,MF
IEA,,GO:0004386,,enables,helicase activity,DDX27,MF,MF
IPI,,GO:0005515,25825154,enables,protein binding,DDX27,MF,MF
IEA,,GO:0005524,,enables,ATP binding,DDX27,MF,MF
IEA,,GO:0016787,,enables,hydrolase activity,DDX27,MF,MF
IEA,,GO:0016887,,enables,ATP hydrolysis activity,DDX27,MF,MF
IBA,,GO:0008320,,contributes_to,protein transmembrane transporter activity,TIMM17A,MF,MF
IEA,,GO:0008320,,enables,protein transmembrane transporter activity,TIMM17A,MF,MF
IPI,,GO:0005515,"[28514442, 30021884, 30543681, 32296183, 33961781, 35271311]",enables,protein binding,NUP88,MF,MF
IEA,,GO:0017056,,enables,structural constituent of nuclear pore,NUP88,MF,MF
TAS,,GO:0017056,9049309,enables,structural constituent of nuclear pore,NUP88,MF,MF
IEA,,GO:0000166,,enables,nucleotide binding,EIF5,MF,MF
